date,hits,keyword,geo,time,gprop,category,hits_num,month,year
2022-12-01T00:00:00Z,14,COVID,US-CA,all,web,0,14,Dec,2022
2004-01-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Jan,2004
2004-02-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Feb,2004
2004-03-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Mar,2004
2004-04-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Apr,2004
2004-05-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,May,2004
2004-06-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Jun,2004
2004-07-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Jul,2004
2004-08-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Aug,2004
2004-09-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Sep,2004
2004-10-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Oct,2004
2004-11-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Nov,2004
2004-12-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Dec,2004
2005-01-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Jan,2005
2005-02-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Feb,2005
2005-03-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Mar,2005
2005-04-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Apr,2005
2005-05-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,May,2005
2005-06-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Jun,2005
2005-07-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Jul,2005
2005-08-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Aug,2005
2005-09-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Sep,2005
2005-10-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Oct,2005
2005-11-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Nov,2005
2005-12-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Dec,2005
2006-01-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Jan,2006
2006-02-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Feb,2006
2006-03-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Mar,2006
2006-04-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Apr,2006
2006-05-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,May,2006
2006-06-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Jun,2006
2006-07-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Jul,2006
2006-08-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Aug,2006
2006-09-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Sep,2006
2006-10-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Oct,2006
2006-11-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Nov,2006
2006-12-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Dec,2006
2007-01-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Jan,2007
2007-02-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Feb,2007
2007-03-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Mar,2007
2007-04-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Apr,2007
2007-05-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,May,2007
2007-06-01T00:00:00Z,1,Unemployment,US-CA,all,web,0,1,Jun,2007
